epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,654.075,1.96797,2.41927,2.08721,0.12912,0.46692,0.10443,0.03294,2.79908,3.98726,3.5547,0.000543038,0.000543038,0.000543038
2,1277.73,2.11353,2.32563,2.13701,0.00506,0.27077,0.00286,0.00084,3.6806,17.7797,5.79442,0.00104432,0.00104432,0.00104432
3,1877.35,2.16975,2.31118,2.27023,0.17273,0.09692,0.05006,0.01478,3.43201,5.52905,4.2828,0.00149059,0.00149059,0.00149059
4,2455.51,2.11591,2.26607,2.20164,0.27775,0.25538,0.14771,0.04071,2.91443,13.3882,3.31153,0.00141945,0.00141945,0.00141945
5,2991.35,2.09733,2.11544,2.17741,0.20639,0.39462,0.2056,0.06668,2.6519,3.32872,2.95727,0.00133693,0.00133693,0.00133693
6,3602.53,1.98576,1.90051,2.10471,0.1611,0.60615,0.17197,0.05054,2.32822,6.53582,2.6478,0.00125442,0.00125442,0.00125442
7,4192.35,1.99865,1.85074,2.08972,0.26225,0.57875,0.31174,0.09906,2.48689,3.59014,2.80165,0.0011719,0.0011719,0.0011719
8,4787.87,1.99034,1.7898,2.1098,0.38361,0.5003,0.39782,0.12679,2.3509,2.34765,2.60581,0.00108938,0.00108938,0.00108938
9,5372.94,1.92625,1.7144,2.05552,0.56712,0.55434,0.5327,0.18798,2.3564,2.02178,2.57856,0.00100687,0.00100687,0.00100687
10,5895.82,1.86016,1.60497,1.97624,0.38323,0.58462,0.46373,0.15796,2.3932,1.93034,2.61256,0.000924352,0.000924352,0.000924352
11,6536.54,1.89958,1.53181,2.18797,0.45974,0.55405,0.5501,0.19792,2.10172,2.02604,2.39179,0.000841835,0.000841835,0.000841835
12,7120.92,1.83419,1.45038,2.1192,0.67065,0.64385,0.68402,0.29621,1.94262,1.62639,2.25873,0.000759318,0.000759318,0.000759318
13,7641.35,1.76835,1.32194,2.08777,0.74181,0.46538,0.5618,0.2281,2.22825,1.8652,2.41664,0.000676802,0.000676802,0.000676802
14,8212.54,1.67409,1.27652,2.03502,0.68093,0.68271,0.69618,0.30274,2.03934,1.34189,2.30261,0.000594286,0.000594286,0.000594286
15,8748.85,1.6468,1.1847,1.99673,0.76274,0.65436,0.71615,0.31804,2.10531,1.55679,2.29544,0.000511769,0.000511769,0.000511769
16,9343.96,1.65599,1.126,1.96845,0.60359,0.69435,0.70003,0.29935,2.13719,1.45942,2.4038,0.000429253,0.000429253,0.000429253
17,9914.92,1.59969,1.07093,1.91925,0.62842,0.66308,0.66833,0.31562,1.97175,1.52202,2.24538,0.000346736,0.000346736,0.000346736
18,10488.1,1.55096,1.00186,1.86724,0.52604,0.66538,0.60459,0.28984,2.12039,1.60355,2.40213,0.00026422,0.00026422,0.00026422
19,11022,1.48697,0.97428,1.85015,0.74352,0.66003,0.72399,0.33653,2.0632,1.38827,2.31879,0.000181703,0.000181703,0.000181703
20,11583.4,1.47415,0.94527,1.82717,0.78967,0.71686,0.79413,0.34941,1.99571,1.3503,2.25451,9.91865e-05,9.91865e-05,9.91865e-05
