epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.763,1.8714,3.1545,1.93312,0.00488,0.64154,0.16158,0.06444,1.9541,3.80803,2.09705,0.00035007,0.00035007,0.00035007
2,365.502,1.7835,2.29252,1.81455,0.92641,0.11189,0.37187,0.1564,1.87021,3.45098,2.14756,0.000681328,0.000681328,0.000681328
3,508.737,1.80017,2.06726,1.84612,0.70496,0.21154,0.37526,0.10946,2.04412,3.25643,2.4069,0.000976279,0.000976279,0.000976279
4,642.597,1.80265,1.95187,1.77698,0.66282,0.11538,0.18833,0.04717,2.54918,3.26262,2.64715,0.00123492,0.00123492,0.00123492
5,781.866,1.79235,1.82984,1.79788,0.70291,0.36787,0.46807,0.16009,2.32512,2.93537,2.53281,0.00133693,0.00133693,0.00133693
6,916.728,1.70864,1.70939,1.75494,0.52364,0.48462,0.46168,0.16445,2.22572,2.77775,2.51241,0.00125442,0.00125442,0.00125442
7,1057.65,1.76764,1.68058,1.80961,0.63088,0.44923,0.47061,0.17177,2.18404,2.5099,2.37252,0.0011719,0.0011719,0.0011719
8,1195.26,1.71055,1.65112,1.78297,0.7202,0.57161,0.67023,0.2887,1.92167,1.97298,2.1225,0.00108938,0.00108938,0.00108938
9,1326.64,1.70263,1.59754,1.7508,0.5064,0.52385,0.5036,0.20642,2.11959,2.27163,2.2677,0.00100687,0.00100687,0.00100687
10,1459.03,1.69635,1.50887,1.71835,0.66118,0.51224,0.55258,0.24305,1.93594,2.22374,2.04933,0.000924352,0.000924352,0.000924352
11,1587.57,1.58918,1.45335,1.73774,0.70922,0.51734,0.59786,0.25786,1.98179,2.08975,2.03247,0.000841835,0.000841835,0.000841835
12,1717.52,1.51238,1.35358,1.70477,0.55049,0.66154,0.63356,0.2809,2.01552,1.8886,2.2395,0.000759318,0.000759318,0.000759318
13,1849.33,1.50259,1.23729,1.70303,0.61201,0.70385,0.69819,0.30551,1.96558,1.69737,2.17703,0.000676802,0.000676802,0.000676802
14,1994.19,1.47529,1.21102,1.67485,0.75214,0.60538,0.66002,0.30969,1.96249,1.67497,2.09186,0.000594286,0.000594286,0.000594286
15,2128.26,1.43276,1.11661,1.62512,0.7755,0.70308,0.76867,0.3723,1.8911,1.55407,2.03601,0.000511769,0.000511769,0.000511769
16,2260.92,1.39055,1.10365,1.59541,0.76585,0.72385,0.77344,0.38721,1.83365,1.4807,1.97639,0.000429253,0.000429253,0.000429253
17,2402.41,1.28916,1.02785,1.50366,0.87678,0.69137,0.79221,0.36739,1.92427,1.48476,2.04391,0.000346736,0.000346736,0.000346736
18,2529.93,1.26794,0.99242,1.49839,0.81795,0.71743,0.79805,0.38612,1.89354,1.35735,1.99953,0.00026422,0.00026422,0.00026422
19,2656.04,1.23358,0.9547,1.45448,0.81108,0.74308,0.78213,0.36177,1.96193,1.42178,2.09638,0.000181703,0.000181703,0.000181703
20,2805.7,1.19414,0.94215,1.44522,0.81771,0.72308,0.7806,0.37948,1.89935,1.387,2.06125,9.91865e-05,9.91865e-05,9.91865e-05
