epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.869,2.03943,4.76257,2.37033,0.32307,0.33385,0.22254,0.075,2.03451,4.36898,2.75888,0.00035007,0.00035007,0.00035007
2,534.6,1.86568,2.33966,2.14701,0.38391,0.31462,0.30219,0.09991,2.19323,3.94872,2.64917,0.000645846,0.000645846,0.000645846
3,746.515,1.9105,1.89629,2.11344,0.44993,0.66861,0.4815,0.18224,2.10068,3.35828,2.64983,0.000869007,0.000869007,0.000869007
4,1014.37,1.82781,1.6005,2.09388,0.50736,0.40381,0.45167,0.16145,2.29212,3.95321,2.98904,0.00101955,0.00101955,0.00101955
5,1251.68,1.89778,1.53431,2.09344,0.296,0.45154,0.32137,0.12161,2.1419,2.39011,2.59235,0.00100687,0.00100687,0.00100687
6,1501.77,1.80601,1.38553,2.02316,0.4397,0.44803,0.3828,0.12067,2.52926,2.38222,2.77693,0.000841835,0.000841835,0.000841835
7,1721.97,1.72402,1.22197,1.92566,0.4499,0.39231,0.38527,0.15331,2.42503,2.0633,2.62298,0.000676802,0.000676802,0.000676802
8,1981.09,1.68298,1.12723,1.86065,0.7003,0.56013,0.59787,0.24727,2.30223,1.5225,2.54823,0.000511769,0.000511769,0.000511769
9,2224.72,1.62347,1.09911,1.83189,0.62009,0.75039,0.76301,0.32998,2.03217,1.33323,2.24354,0.000346736,0.000346736,0.000346736
10,2454.02,1.5031,0.96497,1.73668,0.79869,0.75989,0.84847,0.40846,1.8592,1.12522,2.00332,0.000181703,0.000181703,0.000181703
