epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7574,1.54364,3.03385,1.54559,0.63264,0.6586,0.67502,0.48597,1.26785,2.87905,1.29667,0.00011669,0.00011669,0.00011669
2,50.3999,1.30332,1.85261,1.31236,0.59314,0.68676,0.61843,0.4541,1.17196,1.96398,1.22728,0.000245099,0.000245099,0.000245099
3,71.4484,1.20828,1.51746,1.25004,0.8414,0.60836,0.79564,0.56059,1.20866,2.12885,1.21583,0.000368227,0.000368227,0.000368227
4,92.2804,1.19504,1.36941,1.20599,0.77446,0.75664,0.79284,0.59095,1.11737,1.43072,1.12365,0.000486074,0.000486074,0.000486074
5,116.359,1.17024,1.22494,1.19448,0.91825,0.70628,0.83068,0.61264,1.05082,1.21996,1.10402,0.00059864,0.00059864,0.00059864
6,139.721,1.14596,1.15273,1.15398,0.70597,0.76663,0.82412,0.61501,1.0668,1.38922,1.13082,0.000705924,0.000705924,0.000705924
7,163.579,1.08208,1.03469,1.16486,0.85798,0.78622,0.87938,0.61311,1.18416,1.18605,1.23453,0.000807928,0.000807928,0.000807928
8,186.409,1.12729,1.02768,1.18385,0.76964,0.836,0.85925,0.62315,1.10208,1.18211,1.18998,0.000904651,0.000904651,0.000904651
9,207.469,1.14782,1.00212,1.2009,0.83684,0.72789,0.83732,0.57127,1.228,1.20828,1.25934,0.000996093,0.000996093,0.000996093
10,228.939,1.16222,0.96872,1.20723,0.89154,0.86145,0.90193,0.63519,1.13748,1.22142,1.18179,0.00108225,0.00108225,0.00108225
11,255.716,1.06426,0.91555,1.16792,0.73351,0.84421,0.9122,0.64378,1.1134,1.09525,1.19714,0.00116313,0.00116313,0.00116313
12,280.295,1.12747,0.89127,1.16511,0.82551,0.83189,0.89993,0.63333,1.10653,1.26795,1.20378,0.00123873,0.00123873,0.00123873
13,301.005,1.09587,0.92435,1.16185,0.91825,0.83038,0.94195,0.68358,1.0307,1.18029,1.16199,0.00127092,0.00127092,0.00127092
14,320.649,1.12668,0.91408,1.19196,0.78638,0.78434,0.86795,0.62413,1.11983,1.44897,1.21882,0.00123791,0.00123791,0.00123791
15,341.533,1.07273,0.87656,1.15009,0.6496,0.83166,0.83133,0.60595,1.10162,1.36486,1.16777,0.00120491,0.00120491,0.00120491
16,360.862,1.02017,0.76985,1.08268,0.88469,0.80111,0.90997,0.68015,1.04894,1.07285,1.13993,0.0011719,0.0011719,0.0011719
17,380.764,1.06439,0.87549,1.16062,0.79084,0.80082,0.87878,0.64541,1.05877,1.24166,1.15893,0.00113889,0.00113889,0.00113889
18,400.335,0.99225,0.77449,1.10822,0.86606,0.71059,0.90205,0.64808,1.053,1.12938,1.14212,0.00110589,0.00110589,0.00110589
19,420.117,0.96233,0.75765,1.08158,0.85477,0.84421,0.95861,0.72277,0.98371,1.00536,1.09517,0.00107288,0.00107288,0.00107288
20,438.045,0.93749,0.72261,1.0617,0.94571,0.91222,0.96619,0.73367,0.98208,0.84576,1.11652,0.00103987,0.00103987,0.00103987
21,461.937,0.93819,0.71848,1.09597,0.95646,0.91318,0.97499,0.74585,0.93862,0.75608,1.07352,0.00100687,0.00100687,0.00100687
22,485.685,0.9407,0.68257,1.05669,0.93961,0.91318,0.97559,0.7485,0.92629,0.71206,1.051,0.000973861,0.000973861,0.000973861
23,508.916,0.93888,0.69079,1.07663,0.92519,0.9373,0.97298,0.76779,0.86223,0.73127,1.00467,0.000940855,0.000940855,0.000940855
24,530.308,0.92474,0.67183,1.05605,0.91819,0.93904,0.96922,0.78181,0.83482,0.64177,0.99343,0.000907848,0.000907848,0.000907848
25,548.75,0.91498,0.66715,1.05221,0.90972,0.94844,0.97525,0.76512,0.87103,0.62885,1.01517,0.000874842,0.000874842,0.000874842
26,571.191,0.9215,0.67252,1.05807,0.94461,0.92241,0.97738,0.76916,0.86784,0.62076,1.02148,0.000841835,0.000841835,0.000841835
27,591.07,0.88721,0.64994,1.04024,0.93024,0.93966,0.97378,0.78189,0.83398,0.61352,0.99444,0.000808828,0.000808828,0.000808828
28,610.91,0.89004,0.66309,1.05391,0.9226,0.9569,0.97881,0.80031,0.80519,0.57805,0.97179,0.000775822,0.000775822,0.000775822
29,632.093,0.89221,0.63983,1.04557,0.8978,0.97414,0.96049,0.77866,0.80909,0.58954,0.97291,0.000742815,0.000742815,0.000742815
30,652.627,0.8481,0.64372,1.02448,0.91837,0.97414,0.96042,0.78211,0.80493,0.57501,0.98253,0.000709809,0.000709809,0.000709809
