epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.684,3.18794,18.2929,2.00811,0.49396,0.48782,0.4794,0.26741,1.6626,4.98802,1.10348,0.0001667,0.0001667,0.0001667
2,60.7118,1.90344,4.5308,1.13618,0.52803,0.99779,0.62675,0.35616,1.46752,3.58872,1.08029,0.000343139,0.000343139,0.000343139
3,90.6187,1.65158,3.10897,1.08022,0.58753,0.75833,0.64975,0.35176,1.47419,2.8102,1.07521,0.000512316,0.000512316,0.000512316
4,119.607,1.59459,2.37883,1.03683,0.34662,0.96681,0.41624,0.21879,1.44751,3.76479,1.10296,0.000674231,0.000674231,0.000674231
5,148.182,1.60583,2.09289,1.08111,0.2444,1,0.40936,0.23592,1.4389,5.14126,1.04038,0.000828886,0.000828886,0.000828886
6,176.999,1.5429,1.9197,1.06443,0.37323,0.9,0.45905,0.25741,1.44716,2.57377,1.08242,0.000976279,0.000976279,0.000976279
7,203.88,1.63176,1.68303,1.13126,0.31317,0.88889,0.41833,0.23943,1.44664,1.95855,1.05785,0.00111641,0.00111641,0.00111641
8,230.419,1.61274,1.84287,1.07879,0.32082,0.88889,0.38657,0.20435,1.56493,1.74323,1.09876,0.00124928,0.00124928,0.00124928
9,257.993,1.43894,1.59268,1.01057,0.58264,0.88889,0.76911,0.50025,1.24961,1.46828,1.02688,0.00137489,0.00137489,0.00137489
10,284.913,1.53018,1.51225,1.05273,0.82825,0.5,0.53271,0.31764,1.30867,1.98881,1.03842,0.00136994,0.00136994,0.00136994
11,310.575,1.4338,1.34906,1.02454,0.8548,0.48893,0.74753,0.44634,1.28848,1.52259,1.02923,0.00133693,0.00133693,0.00133693
12,337.607,1.35191,1.26786,0.98541,0.62369,0.94444,0.81343,0.48776,1.30081,1.20497,1.05409,0.00130393,0.00130393,0.00130393
13,368.072,1.49441,1.26814,1.09619,0.59997,0.94444,0.80739,0.53881,1.20531,1.08453,0.98395,0.00127092,0.00127092,0.00127092
14,397.434,1.47787,1.17297,1.01804,0.59845,0.96714,0.84527,0.52154,1.2661,1.07687,1.02571,0.00123791,0.00123791,0.00123791
15,427.014,1.42543,1.09735,1.01822,0.52967,0.83333,0.81384,0.52944,1.19943,1.12261,0.97944,0.00120491,0.00120491,0.00120491
16,454.689,1.38837,1.10332,0.98435,0.56949,0.9648,0.82776,0.56895,1.15111,1.03853,0.9543,0.0011719,0.0011719,0.0011719
17,483.296,1.45914,1.08997,1.02286,0.53467,0.88683,0.7502,0.44821,1.22715,1.20362,0.97648,0.00113889,0.00113889,0.00113889
18,507.868,1.363,1.24402,0.99938,0.52369,0.83333,0.74251,0.44358,1.23945,1.1804,0.99558,0.00110589,0.00110589,0.00110589
19,536.559,1.37353,1.0221,1.00165,0.63585,0.83867,0.85604,0.55031,1.21076,1.0206,0.99524,0.00107288,0.00107288,0.00107288
20,566.818,1.36183,1.07183,0.98759,0.64205,0.83333,0.86335,0.56824,1.17343,1.01754,0.99966,0.00103987,0.00103987,0.00103987
