epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.377,0.52694,4.76472,0.98074,0.46304,0.75714,0.59497,0.56812,0.27949,3.65855,0.84214,5.001e-05,5.001e-05,5.001e-05
2,26.3107,0.56609,3.01122,0.98202,0.581,1,0.88829,0.88069,0.26807,2.96373,0.82443,0.00011438,0.00011438,0.00011438
3,37.6035,0.52497,2.34512,0.93172,0.71175,0.97546,0.90054,0.88646,0.26809,2.83932,0.81864,0.000176109,0.000176109,0.000176109
4,49.7847,0.53869,2.04748,0.93012,0.97741,0.90997,0.995,0.94585,0.35394,2.27973,0.83806,0.000235197,0.000235197,0.000235197
5,60.3398,0.47644,1.59528,0.90609,0.9277,0.99485,0.995,0.94962,0.2711,1.82146,0.81887,0.000291645,0.000291645,0.000291645
6,71.0494,0.50425,1.31622,0.90791,0.98112,1,0.995,0.93392,0.37528,1.73273,0.83913,0.000345452,0.000345452,0.000345452
7,81.9451,0.49502,1.2385,0.88331,0.90709,1,0.995,0.94323,0.33582,1.42923,0.83443,0.000396619,0.000396619,0.000396619
8,90.9526,0.51436,1.30942,0.90237,0.82764,1,0.96643,0.90215,0.35315,1.52266,0.83467,0.000445146,0.000445146,0.000445146
9,101.327,0.51621,1.19371,0.89856,0.91568,0.83492,0.97833,0.88632,0.41842,1.44321,0.8536,0.000491032,0.000491032,0.000491032
10,111.568,0.64273,1.09744,0.99114,0.73662,1,0.87833,0.72909,0.49976,2.1043,0.91441,0.000534277,0.000534277,0.000534277
11,120.604,0.46711,0.92444,0.86307,0.75834,0.94315,0.93786,0.77892,0.57084,2.11506,0.92175,0.000574882,0.000574882,0.000574882
12,129.75,0.55352,0.89881,0.91504,0.9656,0.89121,0.995,0.91527,0.40184,1.49965,0.85529,0.000612846,0.000612846,0.000612846
13,140.992,0.47591,0.85374,0.86222,0.66696,0.93177,0.96643,0.89967,0.42151,1.77597,0.85678,0.00064817,0.00064817,0.00064817
14,151.137,0.53562,0.85754,0.89626,0.92008,0.97536,0.995,0.88902,0.47438,1.39902,0.87397,0.000680853,0.000680853,0.000680853
15,160.987,0.5774,0.75159,0.92816,0.92008,0.97536,0.995,0.88902,0.47438,1.39902,0.87397,0.000710895,0.000710895,0.000710895
16,170.815,0.48184,0.76722,0.86961,0.98355,0.87635,0.93667,0.86036,0.43556,1.14577,0.85203,0.000738298,0.000738298,0.000738298
17,181.716,0.56641,0.73599,0.92142,0.75796,0.9668,0.995,0.89476,0.63758,2.033,0.92378,0.000763059,0.000763059,0.000763059
18,195.145,0.58222,0.77118,0.94407,0.52326,0.8,0.54589,0.38553,1.26504,3.60992,1.30257,0.00078518,0.00078518,0.00078518
19,206.02,0.58599,0.91736,0.90846,0.52326,0.8,0.54589,0.38553,1.26504,3.60992,1.30257,0.000804661,0.000804661,0.000804661
20,216.987,0.58095,0.95838,0.88949,0.86201,0.89236,0.94519,0.73364,0.75521,1.70667,1.00181,0.000821501,0.000821501,0.000821501
21,228.414,0.59547,0.77954,0.96557,0.60612,0.83965,0.87678,0.66902,0.96371,2.99475,1.09633,0.0008357,0.0008357,0.0008357
22,239.174,0.56532,0.74887,0.95631,0.60612,0.83965,0.87678,0.66902,0.96371,2.99475,1.09633,0.000847259,0.000847259,0.000847259
23,250.88,0.57329,0.67454,0.94911,0.65662,0.84458,0.89037,0.71423,0.7003,2.667,0.96623,0.000856178,0.000856178,0.000856178
24,263.247,0.54807,0.67448,0.87192,0.96844,1,0.995,0.90722,0.397,0.87648,0.85141,0.000862456,0.000862456,0.000862456
25,273.699,0.45412,0.63073,0.90682,0.96844,1,0.995,0.90722,0.397,0.87648,0.85141,0.000866093,0.000866093,0.000866093
26,284.996,0.47607,0.59049,0.86004,0.97168,1,0.995,0.88852,0.507,1.03038,0.89208,0.000841835,0.000841835,0.000841835
27,294.597,0.43648,0.52745,0.89046,0.97168,1,0.995,0.88852,0.507,1.03038,0.89208,0.000808828,0.000808828,0.000808828
28,304.71,0.47565,0.57547,0.85711,0.92906,1,0.995,0.91496,0.41954,0.96941,0.87026,0.000775822,0.000775822,0.000775822
29,314.946,0.55343,0.58436,0.91459,0.92906,1,0.995,0.91496,0.41954,0.96941,0.87026,0.000742815,0.000742815,0.000742815
30,325.033,0.52815,0.57549,0.89713,0.95308,1,0.995,0.94899,0.39247,0.68719,0.8511,0.000709809,0.000709809,0.000709809
31,335.1,0.47693,0.58287,0.86882,0.9287,0.92857,0.98625,0.91231,0.40392,0.63154,0.84572,0.000676802,0.000676802,0.000676802
32,345.845,0.43559,0.5739,0.85451,0.9287,0.92857,0.98625,0.91231,0.40392,0.63154,0.84572,0.000643795,0.000643795,0.000643795
33,356.821,0.44786,0.50232,0.87768,0.98146,0.996,0.995,0.91622,0.40335,0.57044,0.8414,0.000610789,0.000610789,0.000610789
34,368.812,0.54727,0.54336,0.97635,0.98146,0.996,0.995,0.91622,0.40335,0.57044,0.8414,0.000577782,0.000577782,0.000577782
35,380.309,0.42428,0.53721,0.89445,0.97855,1,0.995,0.94615,0.37711,0.51685,0.83889,0.000544776,0.000544776,0.000544776
36,391.242,0.4236,0.49787,0.852,0.97855,1,0.995,0.94615,0.37711,0.51685,0.83889,0.000511769,0.000511769,0.000511769
37,402.204,0.42059,0.4884,0.85763,0.97646,1,0.995,0.94338,0.33994,0.45376,0.83731,0.000478762,0.000478762,0.000478762
38,413.428,0.48388,0.50788,0.87631,0.93215,1,0.995,0.94319,0.31205,0.47462,0.83308,0.000445756,0.000445756,0.000445756
39,423.461,0.39076,0.50128,0.82847,0.93215,1,0.995,0.94319,0.31205,0.47462,0.83308,0.000412749,0.000412749,0.000412749
40,432.508,0.39235,0.48748,0.90544,0.924,1,0.995,0.95164,0.31598,0.46611,0.83247,0.000379743,0.000379743,0.000379743
41,492.804,0.32643,0.42285,0.80533,0.924,1,0.995,0.95164,0.31598,0.46611,0.83247,0.000346736,0.000346736,0.000346736
42,501.857,0.30144,0.40036,0.78872,0.90691,0.92857,0.95583,0.94161,0.30683,0.52208,0.81878,0.000313729,0.000313729,0.000313729
43,511.153,0.29835,0.42292,0.80099,0.90691,0.92857,0.95583,0.94161,0.30683,0.52208,0.81878,0.000280723,0.000280723,0.000280723
44,520.269,0.31352,0.39094,0.78257,0.94486,0.92857,0.96583,0.94308,0.29638,0.45093,0.81634,0.000247716,0.000247716,0.000247716
45,528.87,0.30679,0.3637,0.77842,0.98919,1,0.995,0.98517,0.26161,0.33764,0.81322,0.00021471,0.00021471,0.00021471
46,537.887,0.30499,0.35262,0.81746,0.98919,1,0.995,0.98517,0.26161,0.33764,0.81322,0.000181703,0.000181703,0.000181703
47,547.024,0.30146,0.36532,0.81051,0.98923,1,0.995,0.995,0.24538,0.29897,0.81159,0.000148696,0.000148696,0.000148696
48,556.179,0.29416,0.33057,0.77767,0.98923,1,0.995,0.995,0.24538,0.29897,0.81159,0.00011569,0.00011569,0.00011569
49,565.181,0.28505,0.35398,0.83785,0.99047,1,0.995,0.995,0.22972,0.28702,0.81005,8.26832e-05,8.26832e-05,8.26832e-05
50,574.857,0.28611,0.34483,0.76627,0.99047,1,0.995,0.995,0.22972,0.28702,0.81005,4.96766e-05,4.96766e-05,4.96766e-05
